gap_id,role_or_entity,stage,gap_type,current_state,required_state,3nf_impact,ssot_impact,rbac_impact,severity,effort,dependency,closure_ticket
GAP-011,production,Advancing,Workflow,"advances table exists but approval chain is single-column (approved_by); no multi-step or dual-signer","approval_chains + approval_chain_steps tables with role-typed steps",High,High,Low,P1,Medium,None,C-FLOW-01
GAP-012,production,Deployment,Schema,"No credentials table; badges are ad-hoc documents","credentials(id, project_id, holder_user_id, holder_role, tier, zones[], issued_at, revoked_at, qr_token)",High,High,High,P0,Medium,None,C-CRED-01
GAP-013,production,Deployment,Schema,"No zone_access_grants or zone_access_events","zone_access_grants(credential_id, zone_id, granted_by, from/until) + zone_access_events(credential_id, zone_id, scan_at, device_id, direction)",High,High,High,P0,Medium,GAP-012,C-CRED-02
GAP-014,management,Scheduling,Schema,"shifts exist but no formal call_sheets rollup per shift batch","call_sheets(id, project_id, date, shift_window, shifts[], published_at) with FK-array to shifts",Medium,Medium,Low,P2,Small,None,C-FLOW-02
GAP-015,management,Settlement,Workflow,"No 3-way match table; PO/invoice/receipt reconciliation is manual","po_matches(po_id, invoice_id, receipt_id, match_status, variance, matched_by) + match_fn()",High,High,Low,P1,Medium,None,C-FLOW-03
GAP-016,crew,Onboarding,Document,"No direct_deposit_records table; DD is an uploaded doc","direct_deposit_records(user_id, account_last4, routing_last4, verified_at, voided_check_doc_id)",High,Medium,Medium,P1,Small,None,C-DOC-02
GAP-017,crew,Scheduling,Schema,"shifts table lacks RRULE expansion",shift_instances view materialized from shifts.rrule; RFC5545 parsing in SQL fn,Medium,High,Low,P2,Medium,None,C-FLOW-04
GAP-018,crew,Deployment,Schema,"No checkins table bound to shift + geo-fence","checkins(shift_id, crew_member_id, at, lat, lng, accuracy, device_id, zone_id) + geo-fence validation fn",High,High,Medium,P1,Medium,GAP-013,C-FLOW-05
GAP-019,crew,Active Ops,Schema,"No incidents table","incidents(id, project_id, severity, category, description, involved_users[], related_shift_id, created_by, resolved_at)",High,High,Low,P1,Small,None,C-FLOW-06
GAP-020,crew,Archival,Schema,"No recall_pool table; ratings may exist scattered","recall_pool(crew_member_id, specialty, rating_avg, last_project_id, eligible_from, blocked_reason)",High,High,Low,P2,Small,None,C-DATA-01
GAP-021,staff,Onboarding,Document,"TIPS / food handler certs not modeled","cert_registry(staff_member_id, cert_type, issuer, expires_at, doc_id) + renewal alert",High,Medium,Low,P2,Small,None,C-DOC-03
GAP-022,staff,Contracting,Workflow,"Agency-placed staff AP not differentiated","signatory_type enum {direct, agency, c2c} on staff_members + conditional AP routing",High,High,Low,P1,Small,F-09,C-FORK-09
GAP-023,talent,Contracting,Document,"No riders table; riders stored unstructured in contracts","riders(id, talent_record_id, type {technical,hospitality}, line_items jsonb with schema, fulfillment_status)",High,High,Low,P1,Medium,None,C-DOC-04
GAP-024,talent,Advancing,Workflow,"Hospitality rider fulfillment not tracked line-by-line","rider_line_items(id, rider_id, item, qty, status enum, fulfilled_by, fulfilled_at)",High,High,Low,P1,Medium,GAP-023,C-FLOW-07
GAP-025,talent,Deployment,Schema,"No escort_assignments table","escort_assignments(talent_record_id, escort_user_id, window_from/until, zones[])",Medium,High,Medium,P2,Small,None,C-FLOW-08
GAP-026,talent,Active Ops,Schema,"No stage_cues or cue_log","stage_cues(event_id, cue_no, talent_record_id, scheduled_at, fired_at, fired_by)",Medium,High,Low,P2,Medium,None,C-FLOW-09
GAP-027,vendor,Discovery,Data,"UAC lacks UNSPSC/NIGP/NAICS mapping","classification_crosswalks(uac_sub_code, unspsc, nigp, naics) seeded for all 10 collections",High,High,Low,P1,Large,None,C-DATA-02
GAP-028,vendor,Qualification,Schema,"vendor_credentials not typed; COI/W9/MSA in generic compliance_documents","vendor_credentials(vendor_id, kind enum {coi,w9,w8,msa,insurance_addl}, expires_at, doc_id, verified_by) + renewal alerts",High,High,Medium,P0,Medium,None,C-DOC-05
GAP-029,vendor,Scheduling,Schema,"No dock_slots with time windows","dock_slots(project_id, venue_id, window_from/until, capacity, reserved_by_po_id)",High,High,Low,P1,Small,None,C-FLOW-10
GAP-030,vendor,Deployment,Schema,"bol_records (00114) exists but not linked to credentials or zone access","ALTER TABLE bol_records ADD FK credentials_id + zone_id",Medium,High,Low,P2,Small,GAP-012+GAP-013,C-FLOW-11
GAP-031,vendor,Demobilization,Schema,"No damage_reports table","damage_reports(vendor_id, equipment_id, severity, amount_claimed, adjudicated_by, status)",High,High,Low,P1,Small,None,C-FLOW-12
GAP-032,vendor,Reconciliation,Schema,"No vendor_ledgers rollup","vendor_ledgers(vendor_id, project_id, period, po_total, paid_total, disputed_total)",Medium,High,Low,P2,Small,None,C-FLOW-13
GAP-033,vendor,Archival,Schema,"No vendor_scorecards","vendor_scorecards(vendor_id, project_id, scores jsonb, sla_breaches, reviewer_id, snapshot_at)",High,High,Low,P2,Small,None,C-DATA-03
GAP-034,client,Advancing,Workflow,"No approvals table; deliverable sign-off is ad-hoc email","approvals(project_id, approver_user_id, subject_type/id, decision, decided_at, comment_id)",High,High,Low,P1,Small,None,C-FLOW-14
GAP-035,client,Demobilization,Document,"No deliverable_acceptance record","deliverable_acceptance(project_id, client_user_id, deliverable_ids[], signed_at, doc_id)",High,High,Medium,P1,Small,None,C-DOC-06
GAP-036,sponsor,Onboarding,Schema,"sponsors may be typed as clients; no distinct table","sponsors(id, org_id, deal_id FK, tier enum, activation_ids[]) with typed split",High,High,Low,P1,Medium,None,C-DATA-05
GAP-037,sponsor,Reconciliation,Document,"No proof_of_performance record","proof_of_performance(sponsor_id, project_id, impressions, scans, assets[], report_doc_id)",High,High,Low,P2,Small,None,C-DOC-07
GAP-038,press,Discovery,Schema,"No press_applications or press_credentials tables","press_applications(id, outlet, editor_letter_doc_id, status) + press_credentials(app_id, tier, pool_slots[])",High,High,High,P0,Medium,None,C-DATA-06
GAP-039,press,Deployment,RBAC,"No RLS policy for press-pool access","RLS on zone_access_grants where holder_role='press' AND zone in pool_zones",Low,Low,High,P1,Small,GAP-013+GAP-038,C-RBAC-06
GAP-040,guest,Onboarding,Schema,"No guest_tickets or guest_invitations tables","guest_invitations(host_user_id, invitee_email, project_id) + guest_tickets(invitation_id, qr_token, zones[])",High,High,High,P0,Medium,None,C-DATA-07
GAP-041,attendee,Discovery,Integration,"External ticketing platform not integrated; no webhook handler","attendee_tickets(external_id UNIQUE, platform enum, qr_token, zones[]) + /api/webhooks/ticketing handler",High,High,Medium,P1,Medium,None,C-INT-01
GAP-042,attendee,Active Ops,Schema,"No zone_access_events for GA scan volume","zone_access_events (already in GAP-013) + per-zone capacity enforcement fn",High,High,Low,P1,Small,GAP-013,C-FLOW-15
GAP-043,All,All,UI,"No central project-role navigation; roles see the same menu","role-aware nav via DEFAULT_PROJECT_PERMISSIONS + per-role landing route",Low,High,High,P1,Medium,GAP-002,C-UI-01
GAP-044,All,All,UI,"No canonical <RoleGate> or useCan() client pattern","RoleGate component + useCan(resource, action) hook reading project membership + permission bundle",Low,High,High,P1,Small,GAP-002,C-UI-02
GAP-045,All,All,Integration,"No canonical route registry SSOT","src/config/routes.ts with per-route permission binding + middleware reads registry",Medium,High,Medium,P1,Medium,None,C-INT-02
GAP-046,All,All,RLS,"Most table RLS is org-scoped; project-scoped filter often in app code only","Every project-scoped table must have RLS filter on project membership AND project_role bundle",Low,High,High,P0,Large,GAP-002,C-RLS-01
GAP-047,All,All,RLS,"Soft-delete filter added in 00125 but not uniformly applied","Audit every policy for deleted_at IS NULL; standardize via helper fn",Medium,High,Medium,P1,Medium,None,C-RLS-02
GAP-048,All,All,Schema,"Fragmented WHO: auth.users + profiles + crew_members + staff_members + talent_records + attendees","people canonical table as SSOT; typed subtype tables FK to people.id",High,High,Medium,P1,Large,None,C-DATA-08
GAP-049,All,All,Schema,"Org WHO: organizations + vendors + clients + sponsors fragmented","orgs canonical + typed subtype with role discriminator; consistent naming",High,High,Medium,P1,Large,None,C-DATA-09
GAP-050,All,All,Schema,"No role_stage_preconditions table","role_stage_preconditions(role, stage, required_checks jsonb, blocking boolean)",High,High,Low,P1,Medium,GAP-005,C-STATE-06
GAP-051,All,All,Schema,"No approval_chains or approval_chain_steps tables","approval_chains(id, kind enum, min_approvers, created_by) + approval_chain_steps(chain_id, order, role, is_required)",High,High,Low,P1,Medium,None,C-FLOW-01
GAP-052,All,All,Schema,"No role_lifecycle_exceptions table","role_lifecycle_exceptions(id, project_user_id, kind enum {cancellation,no_show,reassignment,force_majeure,change_order,dispute,chargeback,revocation,incident,tax_correction}, raised_by, resolved_at)",High,High,Low,P1,Medium,None,C-EX-TBL
GAP-053,All,Contracting,Document,"No canonical contracts/templates linkage",contract_templates(kind enum) + contract_instances(template_id + signed_doc_id + signatory_user_id + status) unified across all role contract types,High,High,Low,P1,Medium,None,C-DOC-08
GAP-054,All,Archival,Workflow,"No retention_policies; everything kept forever","retention_policies(entity_kind, min_years, legal_hold, purge_after) + monthly purge job",High,High,Medium,P2,Medium,None,C-DATA-10
GAP-055,All,Closeout,Audit,"No immutability on closed projects; any admin can UPDATE","BEFORE UPDATE trigger on projects + children where projects.status='closed' rejects with 'project closed'",Low,High,High,P1,Small,GAP-010,C-AUD-01
GAP-056,All,All,Audit,"hierarchy_status_log exists but limited to hierarchy tables","audit_events canonical table with polymorphic entity_type + entity_id + before/after jsonb",Medium,High,Low,P2,Medium,None,C-AUD-02
GAP-057,All,All,Data,"Seed data only covers 24 entities (recent commit)","seed generator producing project-scoped sample of all 12 roles + all WHAT/WHERE entities x 3 projects",Low,High,Low,P3,Medium,None,C-DATA-11
GAP-058,All,All,UI,"12 roles have no per-role landing route","/app/(portal)/[role]/page.tsx with role-specific widgets",Low,Medium,Medium,P2,Large,GAP-043,C-UI-03
GAP-059,All,All,Integration,"E-sign provider integration not abstracted; hardcoded to single provider","esign_adapters with DocuSign + HelloSign + PandaDoc adapters; per-org selection",Low,Medium,Low,P3,Large,None,C-INT-03
GAP-060,All,All,Integration,"No e2e role-lifecycle test suite","e2e/tests/rbac/lifecycle-[role].spec.ts for each of 12 roles x happy path + 2 exception paths",Low,Medium,Medium,P1,Large,All schema tickets,C-TEST-01
GAP-061,crew,Advancing,Schema,"per_diem table absent; per diems baked into timesheets","per_diem(id, user_id, project_id, daily_rate, days, meal_mode enum, paid_at)",High,High,Low,P2,Small,None,C-FLOW-16
GAP-062,crew,Advancing,Schema,"travel_bookings lacks lodging_mode + transport_mode",ALTER TABLE travel_bookings ADD lodging_mode + transport_mode enums; populate,Medium,High,Low,P2,Small,None,C-FLOW-17
GAP-063,talent,Advancing,Schema,"No green_room_assignments","green_room_assignments(talent_record_id, space_id, window_from/until, amenities jsonb)",Medium,High,Low,P2,Small,None,C-FLOW-18
GAP-064,All,Deployment,Schema,"No egress_logs","egress_logs(credential_id, zone_id, scanned_at, device_id)",Medium,High,Low,P2,Small,GAP-013,C-FLOW-19
GAP-065,All,Active Ops,Schema,"No change_orders canonical","change_orders(project_id, requester_user_id, subject_type/id, delta_amount, status enum, approvals[], resolved_at)",High,High,Low,P1,Medium,GAP-051,C-FLOW-20
GAP-066,executive,Reconciliation,Schema,"No budget_reconciliations","budget_reconciliations(project_id, signed_by, variance, line_items[], signed_at)",High,High,Low,P1,Small,None,C-FLOW-21
GAP-067,All,Reconciliation,Schema,"No tax_exports","tax_exports(id, project_id, tax_year, kind enum {1099_nec,1099_misc,w2}, recipient_user_id, amount, filed_at, correction_of UUID)",High,High,Medium,P1,Medium,None,C-DOC-09
GAP-068,All,Settlement,Integration,"Stripe Connect exists (00020) but no chargeback handler","/api/webhooks/stripe charge.refunded + charge.dispute.created → re-open reconciliation",Medium,High,Medium,P1,Small,None,C-INT-04
GAP-069,sponsor,Active Ops,Schema,"No activation_metrics","activation_metrics(activation_id, ts, impressions, scans, interactions, source enum)",Medium,Medium,Low,P2,Small,None,C-FLOW-22
GAP-070,press,Scheduling,Schema,"No pool_slots","pool_slots(event_id, kind enum {presser,pool,riser}, capacity, slot_window_from/until)",High,High,Low,P2,Small,None,C-FLOW-23
GAP-071,All,All,RBAC,"require_mfa is org-wide; no per-bundle MFA","ALTER auth_settings ADD mfa_required_bundles jsonb[] + enforce in middleware for privileged ops",Low,Medium,High,P1,Small,None,C-RBAC-05
GAP-072,All,All,RBAC,"No role_capability cache; every request re-reads RPC","cache project_role resolution in JWT claims refreshed on role change",Low,Low,Medium,P2,Medium,GAP-002,C-RBAC-07
GAP-073,All,All,Workflow,"No notifications fan-out per stage transition","role_transition_notify_fn(from_state, to_state, role) reading subscribers and firing email/push/SMS",Medium,High,Low,P2,Medium,GAP-008,C-FLOW-24
GAP-074,All,All,Data,"Seed classification codes for 12 roles absent","seed rows into classification_crosswalks for each role x applicable code",Low,High,Low,P2,Small,GAP-027,C-DATA-12
GAP-075,All,All,UI,"No admin UI to edit role permission bundles","/app/(settings)/rbac/project-roles/page.tsx with matrix editor writing to role_permission_bundles",Low,Medium,Medium,P2,Large,GAP-002,C-UI-04
